DATE;TIME;10MAA50CP012壯XQ03;10MAA50CP012壯XQ02;10MAA50CP012壯XQ01;10MAA50CP011壯XQ02;10MAA50CP011壯XQ01;10MAA50CP011壯XQ03;10MAA50CP013壯XQ01;10MAA50CP013壯XQ02;10MAA50CP013壯XQ03;10MAA50CP001壯XQ01;10MAA50CP012匣Q01低F;10MAA50CP011匣Q03低F;10MAA50CP013匣Q01低F;10MAA50CP011匣Q02利_AL;10MAA50CP011匣Q01低F;10MAA50CP013匣Q02利_AL;10MAA50CP012匣Q03低F;10MAA50CP012匣Q02利_AL;10MAA50CP013匣Q02低F;10MAA50CP013匣Q03低F;10MAA50CP011匣Q02低F;10MAA50CP012匣Q02低F;10MAA50CP001匣Q01低F;
02.01.2023;06:30:00,000;1,0219;1429,0;0,0086808;1497,8;-0,0021701;0,99565;0,0086808;6000,0;-5,5955;-0,27083;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;07:00:00,000;1,0200;1431,1;0,0086808;1498,4;-0,0021701;0,99594;0,0086808;6000,0;-5,5743;-0,27083;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;07:30:00,000;1,0195;1432,5;0,0086808;1496,4;-0,0021701;0,99595;0,0086808;6000,0;-5,5388;-0,27083;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;08:00:00,000;1,0203;1417,4;0,0086808;1493,8;0,00000000;0,99686;0,0097661;6000,0;-5,5339;-0,27083;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;08:30:00,000;1,0202;1430,5;0,0086808;1501,1;0,00000000;0,99652;0,0097661;6000,0;-5,5336;-0,27083;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;09:00:00,000;1,0213;1425,7;0,0086808;1502,7;-0,0021701;0,99633;0,0097661;6000,0;-5,5323;-0,26794;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;09:30:00,000;1,0218;1422,9;0,0086808;1509,8;-0,0021701;0,99601;0,0097661;6000,0;-5,5340;-0,26505;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;10:00:00,000;1,0219;1431,3;0,0086808;1515,6;-0,0010848;0,99586;0,0097661;6000,0;-5,5549;-0,27855;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;10:30:00,000;1,0221;1434,8;0,0097661;1521,6;-0,0010848;0,99554;0,0097661;6000,0;-5,5878;-0,27662;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;11:00:00,000;1,0227;1436,2;0,0097661;1523,2;-0,0032549;0,99386;0,0097661;6000,0;-5,5880;-0,28241;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;11:30:00,000;1,0231;1436,3;0,0097661;1523,3;-0,0032549;0,99363;0,011394;6000,0;-5,5791;-0,28241;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;12:00:00,000;1,0250;1436,3;0,0097661;1523,9;-0,0021701;0,99425;0,0097661;6000,0;-5,6022;-0,28819;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;12:30:00,000;1,0251;1436,5;0,0097661;1526,1;-0,0021701;0,99474;0,0097661;6000,0;-5,5986;-0,28048;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;13:00:00,000;1,0251;1438,2;0,013021;1527,7;-0,0021701;0,99453;0,0097661;6000,0;-5,6057;-0,28241;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;13:30:00,000;1,0256;1436,4;0,0097661;1527,0;-0,0021701;0,99461;0,0097661;6000,0;-5,6008;-0,28241;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;14:00:00,000;1,0268;1437,8;0,013021;1528,9;-0,0021701;0,99392;0,0097661;6000,0;-5,6167;-0,28434;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
02.01.2023;14:30:00,000;1,0262;1445,2;0,010851;1530,9;-0,0032549;0,99315;0,010851;6000,0;-5,6243;-0,28048;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;0,00000000;
